date,post_id,amount
2020/11/1,A,4090
2020/11/1,B,59
2020/11/2,A,24064
2020/11/2,B,4710
2020/11/3,A,24064
2020/11/3,B,4710
2020/11/4,A,24064
2020/11/4,B,4710
2020/11/5,A,24064
2020/11/5,B,4710
2020/11/6,A,24064
2020/11/6,B,4710
2020/11/7,A,4090
2020/11/7,B,59
2020/11/8,A,4090
2020/11/8,B,59
2020/11/9,A,24064
2020/11/9,B,4710
2020/11/10,A,24064
2020/11/10,B,4710
2020/11/11,A,24064
2020/11/11,B,4710
2020/11/12,A,24064
2020/11/12,B,4710
2020/11/13,A,24064
2020/11/13,B,4710
2020/11/14,A,4090
2020/11/14,B,59
2020/11/15,A,4090
2020/11/15,B,59
2020/11/16,A,24064
2020/11/16,B,4710
2020/11/17,A,24064
2020/11/17,B,4710
2020/11/18,A,24064
2020/11/18,B,4710
2020/11/19,A,24064
2020/11/19,B,4710
2020/11/20,A,24064
2020/11/20,B,4710
2020/11/21,A,4090
2020/11/21,B,59
2020/11/22,A,4090
2020/11/22,B,59
2020/11/23,A,24064
2020/11/23,B,4710
2020/11/24,A,24064
2020/11/24,B,4710
2020/11/25,A,24064
2020/11/25,B,4710
2020/11/26,A,24064
2020/11/26,B,4710
2020/11/27,A,24064
2020/11/27,B,4710
2020/11/28,A,4090
2020/11/28,B,59
2020/11/29,A,4090
2020/11/29,B,59
2020/11/30,A,24064
2020/11/30,B,4710
