date,post_id,amount
2020/11/1,A,4884
2020/11/1,B,115
2020/11/2,A,23193
2020/11/2,B,3111
2020/11/3,A,23193
2020/11/3,B,3111
2020/11/4,A,23193
2020/11/4,B,3111
2020/11/5,A,23193
2020/11/5,B,3111
2020/11/6,A,23193
2020/11/6,B,3111
2020/11/7,A,4884
2020/11/7,B,115
2020/11/8,A,4884
2020/11/8,B,115
2020/11/9,A,23193
2020/11/9,B,3111
2020/11/10,A,23193
2020/11/10,B,3111
2020/11/11,A,23193
2020/11/11,B,3111
2020/11/12,A,23193
2020/11/12,B,3111
2020/11/13,A,23193
2020/11/13,B,3111
2020/11/14,A,4884
2020/11/14,B,115
2020/11/15,A,4884
2020/11/15,B,115
2020/11/16,A,23193
2020/11/16,B,3111
2020/11/17,A,23193
2020/11/17,B,3111
2020/11/18,A,23193
2020/11/18,B,3111
2020/11/19,A,23193
2020/11/19,B,3111
2020/11/20,A,23193
2020/11/20,B,3111
2020/11/21,A,4884
2020/11/21,B,115
2020/11/22,A,4884
2020/11/22,B,115
2020/11/23,A,23193
2020/11/23,B,3111
2020/11/24,A,23193
2020/11/24,B,3111
2020/11/25,A,23193
2020/11/25,B,3111
2020/11/26,A,23193
2020/11/26,B,3111
2020/11/27,A,23193
2020/11/27,B,3111
2020/11/28,A,4884
2020/11/28,B,115
2020/11/29,A,4884
2020/11/29,B,115
2020/11/30,A,23193
2020/11/30,B,3111
